Timepoint	Archaea	Bacteria
0	0	1
1	0	1
2	0	0.999999999999
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	0.999999999999
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	1.00646148272e-05	0.999989935385
17	0	1
18	0	1
19	0	1
20	0	1
21	0	1
22	0	1
23	0	1
24	0	1
25	0	0.999999999999
26	0	1
27	0	1
28	0	1
29	9.98677750658e-06	0.999990013223
30	0	1
32	0	1
33	0	1
34	0	1
35	0	1
36	0	1
37	0	1
38	0	1
39	0	1
40	0	1
41	0	1
42	0	1
43	0	1
44	0	1
45	0	1
46	0	1
47	0	1
49	0	1
50	0	1
51	0	1
52	0	1
53	0	1
54	1.18501664948e-05	0.999988149833
55	0	1
56	0	1
57	0	1
58	0	1
59	0	1
60	0	1
61	0	1
63	0	1
64	0	1
65	0	1
66	0	1
67	0	1
68	0	1
69	0	1
70	0	1
72	0	1
73	0	1
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	0	1
80	0	1
81	2.95292302468e-05	0.99997047077
82	0	1
84	0	1
85	0	1
87	0	1
88	0	1
89	0	1
90	0	1
91	0	1
96	0	1
97	0	1
98	0	1
99	0	1
100	0	1
101	0	1
102	0	1
103	0	1
105	0	1
106	0	1
107	0	0.999999999999
108	0	1
112	0	1
113	0	1
114	0	1
115	0	1
116	0	1
117	0	1
118	0	1
119	0	1
120	0	1
122	0	1
123	0	1
124	0	1
125	0	1
126	0	1
127	3.63006711994e-06	0.999996369933
128	0	0.999999999999
129	0	1
134	0	1
135	0	1
136	0	1
138	0	1
139	0	1
140	0	1
141	0	1
142	0	1
143	0	1
144	0	1
146	0	1
147	0	1
148	0	1
149	0	1
150	0	1
151	0	1
152	0	1
153	0	0.999999999999
154	0	1
155	0	1
156	0	1
157	0	1
158	0	1
159	0	1
160	0	0.999999999999
161	0	1
162	0	1
163	0	1
164	0	1
165	0	1
166	0	1
167	0	1
168	0	1
169	0	1
170	0	1
171	0	1
172	2.84005384742e-06	0.999997159946
173	0	1
174	0	0.999999999999
175	0	1
176	0	1
177	0	1
178	0	1
179	0	1
180	0	1
181	0	1
182	0	1
183	0	1
184	0	1
185	0	1
186	1.21900180006e-05	0.999987809982
187	1.31800927879e-05	0.999986819908
189	0	1
190	4.10864911726e-06	0.999995891351
191	0	1
192	0	1
193	0	1
194	0	1
195	0	1
196	0	1
197	0	1
198	0	1
199	0	1
200	0	1
201	0	1
202	0	1
203	0	1
204	0	1
205	0	1
206	0	1
207	0	1
209	0	0.999999999999
210	0	1
211	0	1
212	0	1
213	0	1
214	0	1
215	0	1
216	0	0.999999999999
217	0	0.999999999999
218	0	1
219	0	1
220	0	1
221	0	1
222	0	1
223	0	1
224	0	1
225	0	1
226	0	1
227	0	1
228	0	1
232	0	1
233	0	1
234	0	1
235	0	1
236	0	1
237	0	1
238	0	1
239	0	1
240	0	1
241	0	1
242	0	1
243	0	1
244	0	1
245	0	1
246	0	1
247	0	1
248	0	1
249	0	1
250	0	1
251	0	1
252	0	1
253	0	1
254	0	1
255	0	1
256	0	1
257	0	1
259	0	1
260	0	1
261	0	1
262	0	0.999999999999
263	0	0.999999999999
264	0	1
265	0	1
266	0	1
267	0	1
268	0	1
269	0	1
271	0	1
272	0	1
273	0	1
274	0	1
275	0	1
276	0	1
277	0	1
279	0	1
280	0	1
281	0	1
282	0	1
283	0	1
284	0	1
285	0	1
286	0	1
287	0	1
288	0	1
289	0	1
290	0	1
291	0	1
292	0	1
293	0	1
295	0	1
296	0	1
297	0	1
298	0	1
299	0	1
300	0	1
301	0	1
302	0	1
303	0	0.999999999999
304	0	1
305	0	1
306	0	1
307	4.34548330465e-06	0.999995654517
308	0	1
309	0	1
310	0	1
311	0	1
312	0	1
313	0	1
314	0	1
315	0	1
316	0	1
317	0	1
318	0	1
322	0	1
323	0	1
324	0	0.999999999999
325	0	1
326	0	1
327	0	1
328	0	1
329	0	1
330	0	1
331	0	1
332	0	1
333	0	1
334	0	1
335	0	1
336	0	1
337	0	1
338	0	0.999999999999
339	0	1
340	0	1
341	0	0.999999999999
342	0	1
343	0	1
344	0	1
345	0	1
346	0	1
347	0	1
348	0	1
349	0	1
350	0	1
351	0	1
352	0	1
353	0	1
354	0	1
355	0	1
356	0	1
357	0	1
358	0	1
359	0	1
360	0	1
361	0.000158142771294	0.999841857229
364	0	1
